Company,Job title,Location,Salary,Salary estimate,Employees,Founded,Company type,Company industry,Company sector,Company revenue,Career opportunities,Comp & Benefits,Culture & Values,Senior Management,Work/Life Balance,Description
"DaVita
3.4",Senior Legal Counsel - Data Privacy,"London, England",£110K - £117K (Glassdoor Est.),"£113,310 /yr (est.)",10000+ Employees,1994,Company - Public,Healthcare Services & Hospitals,Healthcare,$2 to $5 billion (USD),3.4,3.2,3.4,2.9,3.0,"DaVita International delivers dialysis care to over 40,000 patients across 350 clinics in 10 different markets covering Europe, Asia Pacific and Latin America. Our parent company, DaVita Inc. is one of the largest health care providers in the United States.
Over the last decade, we set out to be the world's greatest dialysis company, and over the next decade, we are poised to build the greatest healthcare community the world has ever seen. When you join the International DaVita Village, you're joining a winning team.

As Senior Legal Counsel Data Privacy at DaVita International your responsibility will be to ensure DaVita International’s compliance with all Data Privacy (DP) laws and regulations in multiple jurisdictions spanning the globe (excluding the USA). You will report to the General Counsel of DaVita International with a dotted line to the enterprise Chief Privacy Officer, who is based in the USA.
What will you be doing?
Develop, implement, and share privacy and data protection policies and best practices across the different jurisdictions and with the US DP team
Assist with DP breaches in coordination with US DP team and local DP officers in each jurisdiction, as appropriate
Provide privacy risk management advice, strategic guidance and support to other functional lanes including Compliance, IT, People Services (HR), and Clinical teams
Advise the International team on privacy risk and maintaining a privacy risk register
Perform audits in each jurisdiction to determine our compliance with local regulations
Support and arrange for training on DP compliance for employees
Actively liaise with US DP team on international DP governance matters
Engage in DP related Due Diligence on M&A transactions
Dotted line functional supervision and direction over in-country DP officers in DaVita International markets

What you’ll need to succeed?
Qualified Lawyer with at least 5 years PQE experience of data privacy law (including GDPR) in an international setting gained in private practice at a law firm, relevant government regulator, and/or in-house legal department at an international organization,
Relevant International Association of Privacy Professionals (IAPP) Certified Information Privacy Professional (CIPP) certifications (e.g., CIPP/E, CIPP/A) preferred.
Proven experience conducting data privacy compliance audits and the design and implementation of improvement plans
Desire to be part of a fun, yet hard-working team
A proactive, innovative and pragmatic approach to problem solving and an ability to think critically and independently with attention to detail
Effectiveness and fluency in English (native or near native speaker level)
Experience in healthcare is a plus
Live, uphold and model Company’s core values of Service Excellence, Integrity, Team, Continuous Improvement, Accountability, Fulfilment and Fun

What can you expect when you join our Village?
A competitive market rate salary
6% Employer pension contributions
Private Medical Insurance & Dental Cover
25 days holiday (33 including bank holidays)
A comprehensive benefit package including Life Assurance, Income Protection & Employee Assistant Programme
Performance-based rewards based on stellar individual and team contributions
A ""community first, company second"" culture based on Core Values that really matter
An exciting, collaborative and driven multinational environment
Dedication, above all, to caring for our patients and teammates
Show Less
Report"
"Catch22
3.8",Data Administrator – Contractual Governance,"London, England",£110K - £117K (Glassdoor Est.),"£11,929 /yr (est.)",1001 to 5000 Employees,1788,Non-profit Organisation,"Civic, Welfare & Social Services",Non-profit & NGO,$25 to $50 million (USD),3.6,3.1,3.9,3.7,3.7,"Company Description

Catch22 exists to help build a society where everyone has a good place to live, good people around them, and a fulfilling purpose. We call these our '3Ps'.
We achieve this in two ways. First, we improve lives on the frontline through delivery of public services. Secondly, we use our knowledge to change 'the system', to fix the complex web that can trap and disempower those it was set up to help. With the heart of a charity and the mindset of a business, we are uniquely placed to deliver on this challenging agenda.
In Justice, we work with young people and adults in custody and in the community, providing a range of services including offender management and resettlement, mentoring, veterans in custody, victim services, gangs work and youth justice. We believe that with effective support mechanisms and the correct interventions, we can change service user’s ideology, helping them desist from crime and reach their true potential.

Job Description

This post presents an exciting opportunity to become a Data Administrator with a particular focus on contractual governance within our Commissioned Rehabilitative Services in the London region.
Commissioned by HMPPS, these services are focused on supporting adult male ex-offenders across the following services:
Personal Wellbeing
Financial Benefits and Debt
Dependency & Recovery
This role will involve working in close partnership with delivery and strategic partners including HMPPS, the Voluntary Sector and other Criminal Justice organisations The Data Administrator supports the governance of the contracts through administrative support, HMPPS reporting, and maintaining supply chain engagement records. The role will be home based but may require some travel to sites in the community as well to access training and supporting other teams when necessary.
For full job description click here

Qualifications

Essential:
Good basic education, including Maths and English GCSE or equivalent.
Evidence of continual professional development.
Experience managing administration tasks to a high standard.
Experience working with Microsoft Office - Word and Excel.
Desirable:
Any qualification relevant to working in services with those in Criminal Justice System, for example criminology/ criminal justice/ social care/ mental health/ IAG/ Family.
An understanding of legislation, research and Probation performance requirements relevant to the Rehabilitation of Offenders.
Experience of writing assessments or reports.
Understanding and/or experience of Governance tools and contracts, mitigating performance and challenging outcomes.
For full job description click here

Additional Information

Salary: £11,928.50 per annum (FTE: £23,857)
Hours: 19 hours per week, part-time - permanent
28 days annual leave + bank holidays, rising to 33 days with service (this will be subject to pro-rata)
Pension scheme with matching contributions of up to 4%
Discounted shopping opportunities
This role is subject to an Enhanced DBS and MOJ checks.
Whilst Catch22 is a Ban the Box employer as part of conditions working for this particular contract successful candidates may be asked to gain HMPPS vetting (if ever required to satisfy business need), there are certain previous convictions that may prevent you from being successfully cleared. Catch22 has no influence on this decision nor autonomy to override the outcome.
See the benefits of working for Catch22 here.
Unless otherwise stated, interviews will be arranged as suitable candidates are identified, so early application is strongly advised.
At Catch22 we value equality, diversity and inclusion. We are wholeheartedly committed to the principle of equality of opportunity, both as an employer and as a provider of services. Diversity and Inclusion is part of what we do every day, working to deliver our vision to build a strong society where everyone has good people around them, a purpose, and a good place to live.
Within the Justice hub at Catch22 we are extremely proud of our strong focus and track record in developing our people. As of September 2022, 73% of our management group have progressed from frontline roles within Catch22, which allows us to offer progression opportunities for staff under the leadership of managers with frontline experience.
See the benefits of working for Catch22 here.
Unless otherwise stated, interviews will be arranged as suitable candidates are identified, so early application is strongly advised.
At Catch22 we value equality, diversity and inclusion. We are wholeheartedly committed to the principle of equality of opportunity, both as an employer and as a provider of services. Diversity and Inclusion is part of what we do every day, working to deliver our vision to build a strong society where everyone has good people around them, a purpose, and a good place to live.
Within the Justice hub at Catch22 we are extremely proud of our strong focus and track record in developing our people. As of September 2022, 73% of our management group have progressed from frontline roles within Catch22, which allows us to offer progression opportunities for staff under the leadership of managers with frontline experience.
To apply to this job, click Apply Now
Show Less
Report"
"Haver Analytics
3.6",Economic Data Manager,"London, England",£110K - £117K (Glassdoor Est.),"£28,500 /yr (est.)",51 to 200 Employees,1978,Company - Private,Business Consulting,Management & Consulting,$25 to $50 million (USD),2.7,3.1,3.7,3.3,3.9,"NYC based company has entry level positions available with our economic data group in our London office located in the City. We are seeking energetic candidates with a Masters degree in Economics :to join our growing team of data manager professionals.
Recent university graduates are encouraged to apply.: We are looking for candidates who are detail oriented and have good computer and communication skills.

The position includes tracking time-sensitive economic and financial time series from sources to update our databases, running quality assurance checks and researching output, organizing and adding new surveys, and providing client support of our data content and proprietary software.
Positions are available focusing on European country macroeconomic data or global high frequency financial data with a starting salary range of £28K-29K. Hours are from 7am to 4:30pm. Fluency in another language is a plus.
We are working in a flexible, hybrid environment of 2 days per week in-person at our office. All employees need to be fully vaccinated. You will need a computer with good internet connectivity at home.

This is an excellent opportunity to learn about important economic and financial indicators that the community of economists, strategists and risk managers within the corporate marketplace and public sector rely on.
Please visit http://www.haver.com to learn more about us.
Requirements:
Submit cover letter and resume:
have a Masters degree in economics: that states your degree classification.
live within commuting distance.
be detail oriented and have good computer and communication skills.
Benefits:
review and salary raise every 6 months
annual performance-related bonus
eligible for company profit sharing after 6 months
tuition reimbursement for work-related courses
Show Less
Report"
"Network Homes
4.0",Reports and Data Officer (12 Month Maternity Cover),"Hertford, England",£110K - £117K (Glassdoor Est.),"£32,290 /yr (est.)",501 to 1000 Employees,2016,Company - Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,3.5,3.7,4.3,3.7,3.7,"Reports and Data Officer (12 Month Maternity Cover)
Location: Hertford, SG13 7HH
Salary: £32,290.00
Closing Date: Sunday 29 January 2023
About the role

To provide a responsive, customer-focused service to all contacts through effective and accurate reports and data analysis, provision & support.

To contribute to a high level of customer satisfaction, as part of the organisation’s customer service strategy.

To continuously improve data quality and promote the use of information for decision making through reviewing business processes and other targeted projects as required.

About Network Homes

We are a charitable housing association driven by social objectives to make a positive impact on the places we work in, for the long-term. We have an ambition to build a thousand new homes a year, deliver first class customer service and strengthen our residents trust in us as a landlord.

We own and manage over 20,000 homes across London, Hertfordshire and the South East and are a sector leader amongst the G15 group of London’s largest housing associations. We fundamentally believe in the importance to everyone of a safe, secure, and decent home.

We foster a positive working culture because we’re passionate about our people. Recognised as a Sunday Times 100 Employer in 2019 we have outstanding levels of engagement amongst our people. And we’re focused on becoming even smarter, better, faster, and stronger with our digital transformation programme as we look forward to our recent move into our brand new, modern, stylish offices which we moved into in July 2020.

Network Homes is firmly committed to making sure that our organisation and the communities in which we work are safe places for people to be who they are and live the way they choose. The commitment was recognised at the Housing Heroes awards 2019 where our Equality and Diversity Engagement Group picked up a key award and is demonstrated by us being founding partners for Leadership 2025, the initiative to increase the ethnic diversity of housing’s leadership, and Pledge Pioneers for House Proud, a scheme designed to ensure Lesbian, Gay, Bisexual, Trans and Queer residents can enjoy their homes without fear of discrimination.

Rewards and Benefits

We’re committed to making Network a really great place to work. As well as offering a positive culture we offer a generous pay and benefits package, some of which are listed below:

27 days annual leave – plus an extra day for every year of service
Ability to buy or sell up to five days annual leave per year
Employer matching contribution for pension between 4% and 10%
Flexible and agile working
Season ticket loan
Health & Wellbeing benefits
Perkbox – offering loads of discounts in popular restaurants/movie tickets/gym etc.

We really care about personal development so this role will offer an excellent opportunity for you to develop your career, but also to make a real impact and difference to the service we provide to our customers.

Disability Confident Commitment

We are committed to equal opportunities. We guarantee an interview to anyone with a disability whose application meets the minimum criteria for our post.
Start your job application: click Apply Now
Show Less
Report"
"Adeccogroup
3.8",Data Visualisation Manager (Hybrid/Remote),"London, England",£110K - £117K (Glassdoor Est.),-1,10000+ Employees,-1,Company - Public,HR Consulting,Human Resources & Staffing,$10+ billion (USD),3.6,3.3,3.7,3.5,3.8,"About the role
We currently have an exciting opportunity available for an experienced Data Visualisation Manager. As a leader within the Data, Insights and Analytics function, you will be an inspirational figurehead in driving the necessary transformations to deliver success for The Adecco Group UK&I.
The Data Visualisation Manager will form part of the leadership team within our function, alongside colleagues covering Data Management, Data Engineering, Data Analytics, Data Science and Data Culture. This role will drive the strategy and tactical actions necessary to design, develop and deliver visualisations, dashboards and reports to internal and external customers. Our output is leveraged at the most senior levels of UK&I leadership at critical decision points, as well as forming a vital part of our most high-profile external customer relationships.

What you'll be doing
Own the Data Visualisation team’s backlog, prioritisation, and communication with customers
Own the data visualisation platform, and any security implementations
Ensure highest-quality visual output is available for use by customers
Define the necessary policies, processes and ways-of-working within the team
Design the team to best deliver on function strategy
Provide technical and design guidance to team members
Develop job specifications and manage Data Visualisation recruitment processes
Define the data, tools and techniques required to deliver
Oversee all data visualisation and reporting development within the team
Define the Data Visualisation Policy for our function
Implement governance requirements from Data Management
Minimise friction for customers in accessibility to data and insight
Ensure resources are efficiently deployed, minimising resource wastage, with RoI responsibility
Co-ordinate effectively with colleagues within our function
Build solid relationships across dependencies and stakeholders
Advocate for and represent DIA professionally
Lead, manage and development the team
Create a culture of independence, autonomy, collaboration, innovation and excellence
About you
Experience of management and leadership within data visualisation
Experience of stakeholder management, with strong communication skills between the data and business environments
Significant experience with visualisation tools, preferably PowerBI
Knowledge of best-practice visualisation design and methodology
(Desirable) Knowledge of cloud data storage solutions such as Azure
(Desirable) Data modelling experience
Why choose us?
It’s an exciting time to be part of our team. We’re proud to be a global thought-leader and care about doing the best job we can to ensure better futures for everyone. We do this by building our Future@Work strategy as a united team of 30,000+ colleagues with a collective spirit working in over 60 countries globally.
You’ll have the opportunity to grow across a variety of interesting jobs and careers over our extensive portfolio of global brands. We empower our colleagues to work in the smartest, most efficient ways to achieve total balance between the demands of their jobs and their lives. That’s why we give you the autonomy and support you need to work in the way that makes you most productive, agile, confident, and insightful.
Putting people first, pioneering with a collective spirit and always advancing with a growth mindset -that’s what we stand for at the Adecco Group. Here, we are all individuals with a unique perspective on the world we live in. That’s what makes us stronger. Whoever you are and whatever your background, you can be yourself. So, we aim to build on the attributes that make you, you. We offer a range of world-class resources for upskilling and development, satisfying your curiosity while the sharing skills, knowledge, and expertise to grow together.
Make an impact where it matters most.
A journey to bring out the best in you
We believe that having an understanding of the hiring process helps you to prepare, feel, and be, at your best. As a global, multi brand organisation with multiple different roles, our application process can vary.
On our career site, you will find some of the key steps you can expect to guide you along the way.
As one of the world’s largest employers we believe in talent, not labels, and focus on the diverse and unique skills our people bring. We seek to foster a culture of belonging and purpose, an environment where everyone can thrive and feel engaged, and where difference is respected and valued. Our commitment to equity, equal opportunity, inclusion, and diversity is part of our broader commitment to respecting fundamental human rights across our value chain. The Adecco Group is proud to be an Equal Opportunity Employer.
#LI-UK/I
Show Less
Report"
UM for Network Rail,Level 4 Data Analysis apprenticeship scheme,"London, England",£110K - £117K (Glassdoor Est.),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Making evidence-based decisions matters
If problem solving and collecting data matters to you, you matter to us.
A Data Analyst Apprenticeship with Network Rail provides you with the chance to find out how data can be used in order to answer questions and solve problems. In your role, you will play a crucial part in helping to make decisions more evidence-based and, most importantly, help Network Rail operate more effectively.
Our Data Analyst Apprentices will be joined by experienced colleagues who will help you learn and develop. Once you work independently, you can apply your skills to help with the successful management of some of our biggest projects.
We offer generous study support with our apprenticeships and once you complete your qualification, there are multiple career options for you to further your development within Network Rail.
Overview
· You will begin with a competitive starting salary, and this will increase throughout the scheme as you develop.
· The scheme lasts for two years.
· You will be based in York , Doncaster , London
· The scheme will be a combination of online and classroom-based study.
Who you are matters
We’re looking for sharp thinkers and those with a curious mind. People who enjoy working in a team but are also confident to work alone with their own judgement to make decisions.
No one day will be the same in this role. You’ll be working in different areas and aspects of Network Rail as you learn about the future of the business and its contribution to the country.
At Network Rail, we invest in your future, exposing you to the different areas and aspects because you will play a key role in future of the organisation and its contribution to the country. In return, we respect individuals who are driven, hardworking and uphold Network Rail’s values and behaviours.
What you’ll be doing
You’ll get hands-on experience working across multiple projects which will help you develop an understanding of how evidence-based analysis plays a vital role in the running of Network Rail. You’ll become a pro in data handling and will be taught a range of analytical techniques to help identify and predict trends and patterns in data. You’ll play a key part in investigating and solving complex problems to prevent their reoccurrence. As data analysis is such a fast-moving environment, it’s imperative that you keep informed of industry trends including data languages, tools, software and lessons learnt elsewhere.
What you’ll get out of it
Once you’ve completed the Level 4 Data Analyst apprentice programme, you will have the opportunity to progress further within Network Rail.
The opportunities it leads to
Many of the apprentices further their career progression within Network Rail, taking on roles such as Planner or Programme Controls Manager.
Job Types: Full-time, Apprenticeship
Benefits:
Company pension
Cycle to work scheme
Employee discount
Free or subsidised travel
Life insurance
Schedule:
Monday to Friday
Supplemental pay types:
Bonus scheme
Work Location: One location
Expected start date: 01/09/2023
Show Less
Report"
"QVC
3.4",Senior Data Engineer (m/f/d),"Chiswick, England",£110K - £117K (Glassdoor Est.),"£51,624 /yr (est.)",10000+ Employees,2018,Company - Public,Other Retail Shops,Retail & Wholesale,$10+ billion (USD),3.2,3.5,3.4,3.1,3.4,"Essential Duties:
Partnering with global and local software and infrastructure teams on Data Platforms modernization initiatives including building out automation to provision and configure systems quickly
As a Data Platform Engineer, you are responsible for the setup, deployment, and productionising of data-intensive environments. You develop infrastructure as code that will support the setup of the self-service data platform.
Build and maintain Data platform engineering systems cloud compute platforms in a hybrid configuration with systems deployed both to on-premises data centers and cloud (Azure) environments.
Provide third level support and troubleshooting for issues escalated on installed technical solutions
Implement recommendations to ensure optimal performance and reliability for mission critical and global enterprise systems
Work with broader Platform Engineering organization in leading the evaluation of new technologies relative to their domain(s) and makes strategic recommendations
Work with Platform Engineering teams to design environments that optimize our efficiency in delivering value to our customers and the business
Analyze the technology options/feasibility and define the build, delivery, and deployment pipeline for applications
Design and implement tools, plan for future updates, help maintain and update our teams infrastructure
Your Profile:
A Bachelor's Degree in Computer Science, Engineering, or related field or a combination of education and experience
Experience with Data platforms technologies such as Oracle, SQL Server, MySQL, Maria-DB or Eloquence
Experience with infrastructure monitoring (Dynatrace, Icinga)
Experience with Infrastructure-as-Code concepts and tools (Ansible, Terraform)
Strong Knowledge of Microsoft Azure or a similar cloud platform (AWS, GCP, etc.)
What we offer:
Open and dynamic working atmosphere
Attractive remuneration model
Flexible working time model with flexitime regulation to promote work-life balance (including overtime regulation)
Offers within the framework of company health management
20% employee discount on the QVC product range
Employer-funded pension
Wide range of training opportunities
Job Type: Permanent
Benefits:
Flexitime
Work from home
Schedule:
Monday to Friday
Supplemental pay types:
Bonus scheme
Show Less
Report"
Pearson Carter,Azure Data Solutions Developer- London- £80K,"London, England",£110K - £117K (Glassdoor Est.),"£77,500 /yr (est.)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Azure Data Solutions Developer- London- £80K
Pearson Carter is working with a leading European private equity firm who is seeking an experienced Azure Data Solutions Developer to join their small but growing IT & Transformation team.
As a key member of the team, you will be at the forefront of launching a new phase of transformative cloud-based data solutions to the business. You will be providing technical leadership in defining and building brand new cloud-based architecture within the MS data platform to solve business problems. The ideal candidate should have a proven and recent track record of providing end-to-end solutions, and be confident in providing high-quality, performant solutions that follow best practice.
Responsibilities:
-Providing technical expertise and development support in building, augmenting and optimizing Azure data solutions and platform architecture.
-Implementing new data flows and integrations that support business efforts.
-Modelling data to support analysis.
-Designing and implementing data solutions using various Azure products like, Azure Synapse, SQL, etc.
Experience:
- Azure Data experience with SQL and Synapse
-Integration of Dynamics CRM 365 into the Data Platform
-Advanced SQL and experience with relational databases
-Building optimal data pipelines
-Troubleshooting data quality issues and processes.
Salary:
This role offers a salary £75k - £80K per annum plus an attractive benefits package.
Location:
This client is working to a hybrid working model with travel to their London office three times a week, with the rest from home.
How to apply:
Please apply ASAP with your CV to be considered for this position. You can also get in touch with me on 0191 406 911.
Pearson Carter are a leading Microsoft Azure recruitment agency – www.pearsoncarter.com
Microsoft Azure, Azure Data, Database, Data Bricks, Azure SQL, Data Lake, Dynamics CRM, TOGAF, Data Fundamentals, Azure Solutions Architect, Data Engineer, Dynamics 365, London, Greater London.
Job Types: Full-time, Permanent
Salary: £75,000.00-£80,000.00 per year
Work Location: Hybrid remote in LONDON
Show Less
Report"
"CGI
3.9",Data Architect,"London, England",£110K - £117K (Glassdoor Est.),"£55,634 /yr (est.)",10000+ Employees,1976,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD),3.7,3.3,3.9,3.6,3.9,"Job Description Data Architect

Position Description
CGI are currently looking for a Data Architect to come and join our Secure Innovation & Advisory team which is part of CGI’s Space, Defence and Intelligence business unit. The area is focused primarily on the delivery of contemporary and innovative technical solutions for the government agencies most challenging problems. Our teams work alongside our clients to help them understand how to exploit technologies to maintain competitive advantage. The SIA team is heavily committed to developing our members and will provide excellent learning and development opportunities to ensure that your knowledge and skills keep pace with the evolving technology landscape. We engender a culture of innovation, collaboration and ownership; highly motivated self-starters thrive within our organisation.



Your future duties and responsibilities
Identify, prioritise and addresses concerns related to the solution, including risk and financial aspects
Communicate with business, delivery and operational stakeholders about the end-to-end solution
Models the solution's context, structure and financial aspects
Assures that the solution fulfils its present and anticipated end-to-end architectural requirements and financial constraints by analysis, validation, modelling and road mapping
Supports teams delivering and operating the solution


Required qualifications to be successful in this role
Supports teams delivering and operating the solution
Data Architecture experience
Exposure to working with Enterprise Data Catalogues
Data entity design and implementation
Proficiency in data modelling techniques
Knowledge of ArchiMate modelling language
Data Centric
Understanding of Cloud

Security Clearance: Must be UK national – and either hold, or willing to gain higher level Security Cleared (SC).

Working pattern: due to the secure nature of the work we are operating with a hybrid working policy. We would expect our members to be in their local office as and when required. Some travel to other CGI or client sites might be required (all travel away from your base office is expensed)

Unconditionally inclusive – we know diversity brings a great greater variety of ideas, perspectives and experiences to the workplace. We actively encourage diversity at CGI and inclusivity is one of our top priorities, with support networks for Parents, Women, LGBT+, BAME, Neurodiversity and Disability.

#LI-CGISDI
#INDCGI
#IND



Insights you can act on

While technology is at the heart of our clients’ digital transformation, we understand that people are at the heart of business success.

When you join CGI, you become a trusted advisor, collaborating with colleagues and clients to bring forward actionable insights that deliver meaningful and sustainable outcomes. We call our employees ""members"" because they are CGI shareholders and owners and owners who enjoy working and growing together to build a company we are proud of. This has been our Dream since 1976, and it has brought us to where we are today — one of the world’s largest independent providers of IT and business consulting services.

At CGI, we recognize the richness that diversity brings. We strive to create a work culture where all belong and collaborate with clients in building more inclusive communities. As an equal-opportunity employer, we want to empower all our members to succeed and grow. If you require an accommodation at any point during the recruitment process, please let us know. We will be happy to assist.

Ready to become part of our success story? Join CGI — where your ideas and actions make a difference.




Skills
Data Analysis
Data Architecture
Data Engineering
Data Modeling
Cloud Computing
Show Less
Report"
"Michael Page
4.3","Senior BDM, Financial Services Data","London, England",£110K - £117K (Glassdoor Est.),"£57,500 /yr (est.)",201 to 500 Employees,-1,Company - Private,Security & Protective,Management & Consulting,Unknown / Non-Applicable,3.7,3.7,3.5,3.3,3.4,"London-based data insights company connecting funds and investors
New business-focused business developer with asset management ex. needed
About Our Client
Our client connects funds and investors, priding themselves on being a leader in capital introductions. Our client works with Hedge Funds, Long Only, Private Equity, Real Estate, Infrastructure and other Collective Investment funds in order to identify investors worldwide that would be susceptible to investing in their funds.
Job Description
The role of the sales employee is to help grow our client's fund client base in a sustainable and efficient way, working closely with the other members of a small sales team.
Develop opportunities through firm leads and your own research to establish whether or not fund managers may be suitable for our client's service
Introduce new fund managers to the business - various methods of outreach include cold-calling, marketing and email campaigns, attending conferences, acting upon referrals from industry contacts and current clients, managing incoming requests
Be an ambassador for the firm and have a thorough knowledge of our client's service offering
Gather correct contact information and firm details; using access to external data and information sources and an internal CRM
Record all interactions with potential clients within a CRM system - maintain an up to date record of all sales pipelines and prospects so that accurate forecasts can be made
Draft proposals and other supporting material required post-meeting. This may involve producing supporting documents and stats
Produce weekly progress reports for senior management
Follow up with companies where our client has had past relationships, re-initiating contact
Arrange and attend sales meetings
Understand our client's competitors, and value proposition. Be able to answer questions surrounding the business model, and run sales meetings with senior executives
Organise and execute any follow-up processes that are required post-meeting
Help to prepare formal agreements
The Successful Applicant
Cold calling / outreach experience is essential, as is exposure to the financial services space - ideally asset management. If you have worked in a sales role for a company that provides financial data and insight across the asset management / alternative assets space, that would be amazing.
Strong written and organisational skills, with attention to detail
Passion for investing and intellectual curiosity geared toward the fund management industry
Demonstrable ability to master difficult concepts quickly and operate in a fast paced environment
Exceptional relationship and network building skills
Self-starting attitude and aptitude for cold outreach to originate new pipeline opportunities
Demonstrable experience in a business development or sales role
[Desirable] Experience within the domain of asset and investment management
[Desirable] Bachelor's degree with strong academic credentials and other relevant training certificates
What's on Offer
Our client is looking to pay c.£50-65k Base Salary with potential to pay more but strictly dependant on experience. Generous bonus and commission will be discussed at interview.

I look forward to hearing from you.
Contact
Elliot Sharpe
Quote job ref
JN-122022-5863178
Phone number
+44 207 269 2138
Show Less
Report"
